"Algebra","Equations","Order of operations",," ",,,"No Pic",,"2","Simplify the expression: $$2^2-\left(\frac{7}{-3}\right)\cdot6=?$$",,"1","2","3","4","5","2","1","1",,,,,,,
"Algebra","Equations","Order of operations",," ",,,"No Pic",,"3","Simplify the expression: $$ 3^2+\left(-\frac{12}{3}\left[7-5\right]4\right)+5-1\cdot 9-\frac{5^2}{5} $$",,"1","2","3","4","5","3","2","1",,,,,,,
"Algebra","Equations","Solving for a variable with one equation",,,,,"No Pic",,"4","find \(x:\) $$ x+4=8$$",,"8","6","4","2","0","4","3","<p> Like solving all algebraic equations with one variable, the goal is to isolate \(x\) to one side of the equals sign. To isolate \(x\) first examine which terms or coefficients need to be moved to the opposite side of the equals sign. In this case we have a 4 term being added to \(x\). When isolating a variable, first move terms that do not contain the variable to the opposite side of the equation. In this case, the 4 term does not have  an \(x\) so we can move it to the other side with subtraction. Subtract 4 from both sides of the equation to get: $$x+4-4=8-4$$ This simplifies to our answer $$\boxed{x=4}$$ </p>",,,,"Friday Material",,,
"Algebra","Equations","Solving for a variable with one equation",,,,,"No Pic",,"5","find \(x:\) $$ 12-x=8$$","5566","22","12","18","8","4","4","4","<p> Like solving all algebraic equations with one variable, the goal is to isolate \(x\) to one side of the equals sign. To isolate \(x\) first examine which terms or coefficients need to be moved to the opposite side of the equals sign. In this case we have a 12 term and a -1 coefficient. The 12 is being added to \(x\) and the -1 is multiplying \(x\). When isolating a variable, first move terms without the variable to the opposite side. In this case, the 12 term does not have  an \(x\) so we can move it to the other side with subtraction. Subtract 12 from both sides of the equation to get: $$12-12-x=8-12$$ This simplifies to $$-x=-4$$ Now, only the -1 is left to move. To cancel the -1, multiply or divide both sides by -1 $$-1(-x)=-1(-4)$$ This simplifies to our answer $$\boxed{x=4}$$</p>",,,,"Friday Material",,,
"Algebra","Equations","Solving for a variable with one equation",,,,,"No Pic",,"6","find \(x:\) $$2x=8$$","Kaplan pg43 p8","17","\(\frac{9}{2}\)","11","4","7","4","5","<p> Like solving all algebraic equations with one variable, the goal is to isolate \(x\) to one side of the equals sign. To isolate \(x\) first examine which terms or coefficients need to be moved to the opposite side of the equals sign. In this case we have a 2 coefficient multiplying \(x\). To cancel the 2, divide both sides by 2. In general, we use an operation's opposite to cancel. Since 2 is <strong>multiplying</strong> \(x\), we <strong>divide</strong> both sides by 2. $$\frac{2x}{2}=\frac{8}{2}$$ This simplifies to our answer $$\boxed{x=4}$$</p>",,,,"Friday Material",,,
"Algebra","Equations","Solving for a variable with one equation",,,,,"No Pic",,"7","find \(x:\) $$-2x=-8$$","Kaplan pg44 p11","2","4","6","8","10","4","6","<p> Like solving all algebraic equations with one variable, the goal is to isolate \(x\) to one side of the equals sign. To isolate \(x\) first examine which terms or coefficients need to be moved to the opposite side of the equals sign. In this case we have a -2 coefficient multiplying \(x\). To cancel the -2, divide both sides by -2. In general, we use an operation's opposite to cancel. Since -2 is <strong>multiplying</strong> \(x\), we <strong>divide</strong> both sides by -2. $$\frac{-2x}{-2}=\frac{-8}{-2}$$ This simplifies to our answer $$\boxed{x=4}$$</p>",,,,"Friday Material",,,
"Algebra","Equations","Solving for a variable with one equation",,,,,"No Pic",,"8","find \(x:\) $$ \frac{64}{x}=16 $$","107","5","4","3","2","1","4","7","<p> Like solving all algebraic equations with one variable, the goal is to isolate \(x\) to one side of the equals sign. However, this case is a bit trickier than usual because \(x\) is in the denominator. Before isolating \(x\) from other terms or coefficients, we need to move \(x\) out of the denominator. To move \(x\) to the numerator, try multiplying both sides of the equation by \(x\). This will cancel the \(x\) in the denominator of 64. $$\frac{64}{x}x=16x$$ This simplifies to $$64=16x$$ Now that there is no \(x\) in the denominator, we can proceed as usual. Examine which terms or coefficients need to be moved away from the side of the equation with \(x\). In this case, there is a 16 multiplying \(x\). To cancel the 16 or move it to the other side of the equation, divide both sides by 16. $$\frac{64}{16}=\frac{16x}{16}$$ This simplifies to our answer $$\boxed{4=x}$$</p>",,,,"Friday Material",,,
"Algebra","Equations","Solving for a variable with one equation",,,,,"No Pic",,,,"63","1","2","3","4","5","5","8","1",,,,,,,
"Algebra","Equations","Solving for a variable with one equation",,,,,"No Pic",,"9","find \(x:\) $$ \frac{64-4(5x-2x)}{x}=4 $$","2184","1","2","3","4","5","4","9","1",,,,,,,
"Algebra","Equations","Solving for a variable with one equation",,,,,"No Pic",,"10","find \(x:\) $$\frac{16-3x}{x-3}+\frac{1}{10}=\frac{82}{20} $$","144","1","2","3","4","5","4","10","1",,,,,,,
